OrderID,ItemID,Quantity,UnitPrice,TotalItemPrice
1001,3,6,12.0,72.0
1001,10,2,12.0,24.0
1002,31,5,7.0,35.0
1002,29,9,7.0,63.0
1003,9,6,10.0,60.0
1003,19,10,11.0,110.0
1003,15,1,18.0,18.0
1003,30,10,10.0,100.0
1003,30,4,10.0,40.0
1003,38,2,6.0,12.0
1003,24,2,8.0,16.0
1003,43,2,3.0,6.0
1003,36,8,9.0,72.0
1003,42,8,3.0,24.0
1004,19,10,11.0,110.0
1005,11,10,15.0,150.0
1006,6,10,10.0,100.0
1006,25,2,9.0,18.0
1007,20,9,10.0,90.0
1007,10,3,12.0,36.0
1008,35,9,7.0,63.0
1009,40,1,7.0,7.0
1001,21,4,8.0,32.0
1001,39,5,5.0,25.0
1001,41,4,3.0,12.0
1001,10,2,12.0,24.0
1010,5,1,12.0,12.0
1011,19,2,11.0,22.0
1011,18,1,12.0,12.0
1011,33,9,6.0,54.0
1011,14,3,14.0,42.0
1011,39,1,5.0,5.0
1012,17,10,10.0,100.0
1012,4,10,11.0,110.0
1013,13,1,12.0,12.0
1001,25,3,9.0,27.0
1001,7,1,11.0,11.0
1001,38,3,6.0,18.0
1001,25,2,9.0,18.0
1001,1,5,10.0,50.0
1014,33,8,6.0,48.0
1014,33,8,6.0,48.0
1015,19,2,11.0,22.0
1015,37,2,8.0,16.0
1015,31,10,7.0,70.0
1016,29,10,7.0,70.0
1017,2,6,11.0,66.0
1018,3,7,12.0,84.0
1018,25,9,9.0,81.0
1019,19,6,11.0,66.0
1019,36,10,9.0,90.0
1020,12,9,17.0,153.0
1021,30,6,10.0,60.0
1021,3,8,12.0,96.0
1021,21,1,8.0,8.0
1021,8,9,10.0,90.0
1021,43,10,3.0,30.0
1021,40,6,7.0,42.0
1022,27,6,9.0,54.0
1022,19,7,11.0,77.0
1022,14,8,14.0,112.0
1022,14,9,14.0,126.0
1022,3,10,12.0,120.0
1022,29,5,7.0,35.0
1022,6,1,10.0,10.0
1023,41,2,3.0,6.0
1023,43,2,3.0,6.0
1024,22,3,7.0,21.0
1025,12,10,17.0,170.0
1025,12,7,17.0,119.0
1026,29,1,7.0,7.0
1001,14,1,14.0,14.0
1001,18,3,12.0,36.0
1001,25,2,9.0,18.0
1001,14,3,14.0,42.0
1027,15,7,18.0,126.0
1027,38,1,6.0,6.0
1027,35,1,7.0,7.0
1027,39,8,5.0,40.0
1027,24,10,8.0,80.0
1027,28,7,12.0,84.0
1027,35,10,7.0,70.0
1027,34,2,8.0,16.0
1027,13,10,12.0,120.0
1027,39,6,5.0,30.0
1028,37,1,8.0,8.0
1028,15,6,18.0,108.0
1028,5,6,12.0,72.0
1028,30,8,10.0,80.0
1028,41,9,3.0,27.0
1029,31,10,7.0,70.0
1029,34,8,8.0,64.0
1030,12,4,17.0,68.0
1030,6,5,10.0,50.0
1031,5,3,12.0,36.0
1031,18,4,12.0,48.0
1032,5,3,12.0,36.0
1032,13,1,12.0,12.0
1033,19,6,11.0,66.0
1033,23,3,6.0,18.0
1033,9,5,10.0,50.0
1033,41,3,3.0,9.0
1033,39,9,5.0,45.0
1033,39,8,5.0,40.0
1033,25,10,9.0,90.0
1033,39,7,5.0,35.0
1033,10,7,12.0,84.0
1034,18,5,12.0,60.0
1034,43,4,3.0,12.0
1034,2,8,11.0,88.0
1035,27,4,9.0,36.0
1036,43,7,3.0,21.0
1037,28,5,12.0,60.0
1037,26,5,10.0,50.0
1038,1,1,10.0,10.0
1038,28,2,12.0,24.0
1039,1,1,10.0,10.0
1039,33,1,6.0,6.0
1001,14,4,14.0,56.0
1001,4,2,11.0,22.0
1001,21,2,8.0,16.0
1040,40,8,7.0,56.0
1040,17,3,10.0,30.0
1041,24,4,8.0,32.0
1042,26,5,10.0,50.0
1043,43,1,3.0,3.0
1044,28,2,12.0,24.0
1045,17,6,10.0,60.0
1001,10,5,12.0,60.0
1046,42,5,3.0,15.0
1046,11,2,15.0,30.0
1046,13,1,12.0,12.0
1046,11,6,15.0,90.0
1046,7,2,11.0,22.0
1046,5,2,12.0,24.0
1046,29,5,7.0,35.0
1046,22,8,7.0,56.0
1047,17,6,10.0,60.0
1047,19,7,11.0,77.0
1047,42,5,3.0,15.0
1047,40,6,7.0,42.0
1047,23,10,6.0,60.0
1048,3,8,12.0,96.0
1048,16,2,20.0,40.0
1048,36,4,9.0,36.0
1049,24,7,8.0,56.0
1049,27,1,9.0,9.0
1050,39,1,5.0,5.0
1001,8,4,10.0,40.0
1001,8,1,10.0,10.0
1001,9,2,10.0,20.0
1001,32,5,5.0,25.0
1051,33,10,6.0,60.0
1001,34,3,8.0,24.0
1001,40,1,7.0,7.0
1001,1,1,10.0,10.0
1052,13,9,12.0,108.0
1053,31,8,7.0,56.0
1053,29,3,7.0,21.0
1053,25,6,9.0,54.0
